Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,692.6,672
2020-01-13T05:00:00.000Z,664,685
2020-01-20T05:00:00.000Z,666.4,658
2020-01-27T05:00:00.000Z,654.8,616
2020-02-03T05:00:00.000Z,654.8,681
2020-02-10T05:00:00.000Z,651,671
2020-02-17T05:00:00.000Z,644.2,688
2020-02-24T05:00:00.000Z,677.2,695
2020-03-03T05:00:00.000Z,634.6,656
2020-03-10T04:00:00.000Z,640.4,696
2020-03-17T04:00:00.000Z,627,628
2020-03-24T04:00:00.000Z,606.8,635
2020-03-31T04:00:00.000Z,628,640
2020-04-07T04:00:00.000Z,604.6,606
2020-04-14T04:00:00.000Z,614.6,634
2020-04-21T04:00:00.000Z,584.8,637
2020-04-28T04:00:00.000Z,591,614
2020-05-05T04:00:00.000Z,589.6,630
2020-05-12T04:00:00.000Z,583.6,660
2020-05-19T04:00:00.000Z,598,582
2020-05-26T04:00:00.000Z,584.8,641
2020-06-02T04:00:00.000Z,580,610
2020-06-09T04:00:00.000Z,573.4,646
2020-06-16T04:00:00.000Z,588.8,650
2020-06-23T04:00:00.000Z,558.6,704
2020-06-30T04:00:00.000Z,571.2,661
2020-07-07T04:00:00.000Z,572.4,683
2020-07-14T04:00:00.000Z,578.8,658
2020-07-21T04:00:00.000Z,581.2,688
2020-07-28T04:00:00.000Z,546,707
2020-08-04T04:00:00.000Z,552.2,734
2020-08-11T04:00:00.000Z,574.2,717
2020-08-18T04:00:00.000Z,569.6,745
