Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,6076.4,5887
2020-01-13T05:00:00.000Z,6074.6,5870
2020-01-20T05:00:00.000Z,5786.2,5828
2020-01-27T05:00:00.000Z,5607.2,5827
2020-02-03T05:00:00.000Z,5662,5682
2020-02-10T05:00:00.000Z,5609.4,5911
2020-02-17T05:00:00.000Z,5587.6,5582
2020-02-24T05:00:00.000Z,5515.8,5796
2020-03-03T05:00:00.000Z,5618.4,5678
2020-03-10T04:00:00.000Z,5522.8,5731
2020-03-17T04:00:00.000Z,5475.8,5460
2020-03-24T04:00:00.000Z,5257.4,5674
2020-03-31T04:00:00.000Z,5195.4,5686
2020-04-07T04:00:00.000Z,5245.8,5975
2020-04-14T04:00:00.000Z,5118,6041
2020-04-21T04:00:00.000Z,5047,6125
2020-04-28T04:00:00.000Z,5085.6,5932
2020-05-05T04:00:00.000Z,4997.8,5736
2020-05-12T04:00:00.000Z,4887.6,5658
2020-05-19T04:00:00.000Z,4846.2,5678
2020-05-26T04:00:00.000Z,4914.8,5521
2020-06-02T04:00:00.000Z,4897.4,5581
2020-06-09T04:00:00.000Z,4882.6,5498
2020-06-16T04:00:00.000Z,4860.2,5544
2020-06-23T04:00:00.000Z,4888,5464
2020-06-30T04:00:00.000Z,4807.6,5664
2020-07-07T04:00:00.000Z,4728,5860
2020-07-14T04:00:00.000Z,4758.8,5991
2020-07-21T04:00:00.000Z,4715.6,6171
2020-07-28T04:00:00.000Z,4775,6187
2020-08-04T04:00:00.000Z,4695.2,6244
2020-08-11T04:00:00.000Z,4670.6,6210
2020-08-18T04:00:00.000Z,4673.4,6118
