Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,NaN
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,NaN
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,NaN,NaN
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,41,44
2020-03-31T04:00:00.000Z,0,126,130
2020-04-07T04:00:00.000Z,0,274,289
2020-04-14T04:00:00.000Z,0,368,381
2020-04-21T04:00:00.000Z,0,519,534
2020-04-28T04:00:00.000Z,0,509,526
2020-05-05T04:00:00.000Z,0,524,542
2020-05-12T04:00:00.000Z,0,522,550
2020-05-19T04:00:00.000Z,0,479,499
2020-05-26T04:00:00.000Z,0,463,485
2020-06-02T04:00:00.000Z,0,438,458
2020-06-09T04:00:00.000Z,0,421,444
2020-06-16T04:00:00.000Z,0,410,442
2020-06-23T04:00:00.000Z,0,414,453
2020-06-30T04:00:00.000Z,0,447,486
2020-07-07T04:00:00.000Z,0,582,620
2020-07-14T04:00:00.000Z,0,682,721
2020-07-21T04:00:00.000Z,0,813,867
2020-07-28T04:00:00.000Z,0,901,980
2020-08-04T04:00:00.000Z,0,921,976
2020-08-11T04:00:00.000Z,0,903,964
2020-08-18T04:00:00.000Z,0,777,838
