Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,834.2,854
2020-01-13T05:00:00.000Z,834.2,872
2020-01-20T05:00:00.000Z,779,848
2020-01-27T05:00:00.000Z,787.4,852
2020-02-03T05:00:00.000Z,772.8,792
2020-02-10T05:00:00.000Z,782.4,846
2020-02-17T05:00:00.000Z,795,807
2020-02-24T05:00:00.000Z,776,880
2020-03-03T05:00:00.000Z,753,842
2020-03-10T04:00:00.000Z,779.8,822
2020-03-17T04:00:00.000Z,778.8,822
2020-03-24T04:00:00.000Z,785,890
2020-03-31T04:00:00.000Z,762.6,858
2020-04-07T04:00:00.000Z,756.8,966
2020-04-14T04:00:00.000Z,776.8,1096
2020-04-21T04:00:00.000Z,750.8,1104
2020-04-28T04:00:00.000Z,729.4,1066
2020-05-05T04:00:00.000Z,734.6,996
2020-05-12T04:00:00.000Z,744.4,904
2020-05-19T04:00:00.000Z,721.4,883
2020-05-26T04:00:00.000Z,723.4,845
2020-06-02T04:00:00.000Z,690.8,831
2020-06-09T04:00:00.000Z,715.2,820
2020-06-16T04:00:00.000Z,713,812
2020-06-23T04:00:00.000Z,700.6,857
2020-06-30T04:00:00.000Z,683,876
2020-07-07T04:00:00.000Z,695,783
2020-07-14T04:00:00.000Z,690.2,813
2020-07-21T04:00:00.000Z,689.6,808
2020-07-28T04:00:00.000Z,699.6,830
2020-08-04T04:00:00.000Z,707,804
2020-08-11T04:00:00.000Z,680,834
2020-08-18T04:00:00.000Z,687,816
