Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,11,16
2020-03-31T04:00:00.000Z,0,44,46
2020-04-07T04:00:00.000Z,0,125,130
2020-04-14T04:00:00.000Z,0,201,214
2020-04-21T04:00:00.000Z,0,196,217
2020-04-28T04:00:00.000Z,0,205,223
2020-05-05T04:00:00.000Z,0,173,187
2020-05-12T04:00:00.000Z,0,127,139
2020-05-19T04:00:00.000Z,0,81,97
2020-05-26T04:00:00.000Z,0,80,93
2020-06-02T04:00:00.000Z,0,66,75
2020-06-09T04:00:00.000Z,0,48,63
2020-06-16T04:00:00.000Z,0,48,59
2020-06-23T04:00:00.000Z,0,30,38
2020-06-30T04:00:00.000Z,0,15,22
2020-07-07T04:00:00.000Z,0,22,25
2020-07-14T04:00:00.000Z,0,21,29
2020-07-21T04:00:00.000Z,0,30,43
2020-07-28T04:00:00.000Z,0,26,32
2020-08-04T04:00:00.000Z,0,29,35
2020-08-11T04:00:00.000Z,0,33,38
2020-08-18T04:00:00.000Z,0,24,29
