Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,650.8,633
2020-01-13T05:00:00.000Z,669,629
2020-01-20T05:00:00.000Z,665.8,639
2020-01-27T05:00:00.000Z,669,652
2020-02-03T05:00:00.000Z,668.6,681
2020-02-10T05:00:00.000Z,674,647
2020-02-17T05:00:00.000Z,651.8,633
2020-02-24T05:00:00.000Z,646.8,647
2020-03-03T05:00:00.000Z,650.6,633
2020-03-10T04:00:00.000Z,634.4,622
2020-03-17T04:00:00.000Z,612.4,625
2020-03-24T04:00:00.000Z,645.4,667
2020-03-31T04:00:00.000Z,614.6,749
2020-04-07T04:00:00.000Z,640.4,888
2020-04-14T04:00:00.000Z,630,1260
2020-04-21T04:00:00.000Z,604.4,1388
2020-04-28T04:00:00.000Z,605.6,1339
2020-05-05T04:00:00.000Z,576,1166
2020-05-12T04:00:00.000Z,582.6,1048
2020-05-19T04:00:00.000Z,551.2,946
2020-05-26T04:00:00.000Z,570.2,816
2020-06-02T04:00:00.000Z,557,752
2020-06-09T04:00:00.000Z,588.6,655
2020-06-16T04:00:00.000Z,553.2,612
2020-06-23T04:00:00.000Z,560,564
2020-06-30T04:00:00.000Z,560.6,583
2020-07-07T04:00:00.000Z,573.2,528
2020-07-14T04:00:00.000Z,572.6,581
2020-07-21T04:00:00.000Z,554,546
2020-07-28T04:00:00.000Z,541,552
2020-08-04T04:00:00.000Z,564.4,466
2020-08-11T04:00:00.000Z,537.6,237
2020-08-18T04:00:00.000Z,541.4,154
