Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,206.4,199
2020-01-13T05:00:00.000Z,199.6,192
2020-01-20T05:00:00.000Z,194.6,190
2020-01-27T05:00:00.000Z,195.8,190
2020-02-03T05:00:00.000Z,180.2,182
2020-02-10T05:00:00.000Z,182.4,191
2020-02-17T05:00:00.000Z,193.2,202
2020-02-24T05:00:00.000Z,184,193
2020-03-03T05:00:00.000Z,174.6,163
2020-03-10T04:00:00.000Z,183.2,200
2020-03-17T04:00:00.000Z,183.6,189
2020-03-24T04:00:00.000Z,182.2,221
2020-03-31T04:00:00.000Z,194.6,188
2020-04-07T04:00:00.000Z,169.2,214
2020-04-14T04:00:00.000Z,174.6,219
2020-04-21T04:00:00.000Z,183.4,227
2020-04-28T04:00:00.000Z,164,285
2020-05-05T04:00:00.000Z,160.2,250
2020-05-12T04:00:00.000Z,161.8,269
2020-05-19T04:00:00.000Z,159.2,275
2020-05-26T04:00:00.000Z,167.6,220
2020-06-02T04:00:00.000Z,157.8,226
2020-06-09T04:00:00.000Z,168.4,178
2020-06-16T04:00:00.000Z,163.8,196
2020-06-23T04:00:00.000Z,158,154
2020-06-30T04:00:00.000Z,168,196
2020-07-07T04:00:00.000Z,171.4,195
2020-07-14T04:00:00.000Z,164.4,190
2020-07-21T04:00:00.000Z,175.2,187
2020-07-28T04:00:00.000Z,153.6,197
2020-08-04T04:00:00.000Z,153.6,188
2020-08-11T04:00:00.000Z,178.4,185
2020-08-18T04:00:00.000Z,163.8,174
