Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,131,132
2020-01-13T05:00:00.000Z,133.8,128
2020-01-20T05:00:00.000Z,113,140
2020-01-27T05:00:00.000Z,123.2,131
2020-02-03T05:00:00.000Z,126.4,143
2020-02-10T05:00:00.000Z,125.4,131
2020-02-17T05:00:00.000Z,126,122
2020-02-24T05:00:00.000Z,109.2,104
2020-03-03T05:00:00.000Z,118,135
2020-03-10T04:00:00.000Z,124.6,118
2020-03-17T04:00:00.000Z,115.4,114
2020-03-24T04:00:00.000Z,119.4,129
2020-03-31T04:00:00.000Z,121,130
2020-04-07T04:00:00.000Z,117.4,156
2020-04-14T04:00:00.000Z,113.6,193
2020-04-21T04:00:00.000Z,117.6,202
2020-04-28T04:00:00.000Z,123.2,241
2020-05-05T04:00:00.000Z,115.4,215
2020-05-12T04:00:00.000Z,104,214
2020-05-19T04:00:00.000Z,102.2,184
2020-05-26T04:00:00.000Z,106.4,181
2020-06-02T04:00:00.000Z,106.6,168
2020-06-09T04:00:00.000Z,110.4,149
2020-06-16T04:00:00.000Z,106,146
2020-06-23T04:00:00.000Z,110.4,132
2020-06-30T04:00:00.000Z,110,128
2020-07-07T04:00:00.000Z,107.6,121
2020-07-14T04:00:00.000Z,106.8,138
2020-07-21T04:00:00.000Z,115.4,121
2020-07-28T04:00:00.000Z,108.2,124
2020-08-04T04:00:00.000Z,103.2,127
2020-08-11T04:00:00.000Z,114.8,113
2020-08-18T04:00:00.000Z,117.6,107
