Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1792.4,1799
2020-01-13T05:00:00.000Z,1790.6,1797
2020-01-20T05:00:00.000Z,1761.4,1738
2020-01-27T05:00:00.000Z,1731.4,1821
2020-02-03T05:00:00.000Z,1716.2,1789
2020-02-10T05:00:00.000Z,1734.8,1773
2020-02-17T05:00:00.000Z,1704.6,1752
2020-02-24T05:00:00.000Z,1680.8,1739
2020-03-03T05:00:00.000Z,1638,1851
2020-03-10T04:00:00.000Z,1688.2,1744
2020-03-17T04:00:00.000Z,1671.4,1775
2020-03-24T04:00:00.000Z,1627.2,1764
2020-03-31T04:00:00.000Z,1662.2,1868
2020-04-07T04:00:00.000Z,1590.2,2021
2020-04-14T04:00:00.000Z,1588.8,2021
2020-04-21T04:00:00.000Z,1607.6,2009
2020-04-28T04:00:00.000Z,1594.4,2023
2020-05-05T04:00:00.000Z,1581,1958
2020-05-12T04:00:00.000Z,1566.6,1972
2020-05-19T04:00:00.000Z,1545.4,1934
2020-05-26T04:00:00.000Z,1502.4,1879
2020-06-02T04:00:00.000Z,1529.2,1750
2020-06-09T04:00:00.000Z,1541.8,1735
2020-06-16T04:00:00.000Z,1523.6,1695
2020-06-23T04:00:00.000Z,1534.4,1708
2020-06-30T04:00:00.000Z,1489.2,1746
2020-07-07T04:00:00.000Z,1494.2,1811
2020-07-14T04:00:00.000Z,1510,1883
2020-07-21T04:00:00.000Z,1528.2,2033
2020-07-28T04:00:00.000Z,1521.8,2015
2020-08-04T04:00:00.000Z,1521.4,1981
2020-08-11T04:00:00.000Z,1507.8,1943
2020-08-18T04:00:00.000Z,1539.2,1934
