Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,39,41
2020-03-31T04:00:00.000Z,0,94,98
2020-04-07T04:00:00.000Z,0,208,217
2020-04-14T04:00:00.000Z,0,203,216
2020-04-21T04:00:00.000Z,0,246,264
2020-04-28T04:00:00.000Z,0,233,257
2020-05-05T04:00:00.000Z,0,251,270
2020-05-12T04:00:00.000Z,0,182,207
2020-05-19T04:00:00.000Z,0,170,194
2020-05-26T04:00:00.000Z,0,140,152
2020-06-02T04:00:00.000Z,0,118,140
2020-06-09T04:00:00.000Z,0,100,117
2020-06-16T04:00:00.000Z,0,101,115
2020-06-23T04:00:00.000Z,0,78,94
2020-06-30T04:00:00.000Z,0,110,122
2020-07-07T04:00:00.000Z,0,123,147
2020-07-14T04:00:00.000Z,0,189,212
2020-07-21T04:00:00.000Z,0,247,278
2020-07-28T04:00:00.000Z,0,319,350
2020-08-04T04:00:00.000Z,0,346,380
2020-08-11T04:00:00.000Z,0,376,416
2020-08-18T04:00:00.000Z,0,347,364
