Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1430.2,1469
2020-01-13T05:00:00.000Z,1432.6,1385
2020-01-20T05:00:00.000Z,1386,1387
2020-01-27T05:00:00.000Z,1353.6,1421
2020-02-03T05:00:00.000Z,1344.8,1378
2020-02-10T05:00:00.000Z,1353,1362
2020-02-17T05:00:00.000Z,1315.4,1425
2020-02-24T05:00:00.000Z,1334,1406
2020-03-03T05:00:00.000Z,1334.4,1445
2020-03-10T04:00:00.000Z,1328.2,1368
2020-03-17T04:00:00.000Z,1317.2,1398
2020-03-24T04:00:00.000Z,1299,1325
2020-03-31T04:00:00.000Z,1313.6,1481
2020-04-07T04:00:00.000Z,1288.8,1578
2020-04-14T04:00:00.000Z,1280.6,1625
2020-04-21T04:00:00.000Z,1259.4,1506
2020-04-28T04:00:00.000Z,1212.4,1591
2020-05-05T04:00:00.000Z,1220.2,1519
2020-05-12T04:00:00.000Z,1216,1570
2020-05-19T04:00:00.000Z,1180,1561
2020-05-26T04:00:00.000Z,1216.2,1461
2020-06-02T04:00:00.000Z,1150.8,1369
2020-06-09T04:00:00.000Z,1195.6,1382
2020-06-16T04:00:00.000Z,1161.4,1383
2020-06-23T04:00:00.000Z,1151.4,1337
2020-06-30T04:00:00.000Z,1185,1360
2020-07-07T04:00:00.000Z,1167.8,1313
2020-07-14T04:00:00.000Z,1159.4,1318
2020-07-21T04:00:00.000Z,1179.4,1346
2020-07-28T04:00:00.000Z,1147.4,1263
2020-08-04T04:00:00.000Z,1174.4,1290
2020-08-11T04:00:00.000Z,1164.2,1243
2020-08-18T04:00:00.000Z,1175.8,1238
