Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,659.8,663
2020-01-13T05:00:00.000Z,655,647
2020-01-20T05:00:00.000Z,640.8,619
2020-01-27T05:00:00.000Z,617,640
2020-02-03T05:00:00.000Z,611.4,615
2020-02-10T05:00:00.000Z,610.4,637
2020-02-17T05:00:00.000Z,623,600
2020-02-24T05:00:00.000Z,623,643
2020-03-03T05:00:00.000Z,597.8,642
2020-03-10T04:00:00.000Z,593.4,624
2020-03-17T04:00:00.000Z,607.6,634
2020-03-24T04:00:00.000Z,604.2,598
2020-03-31T04:00:00.000Z,577.6,593
2020-04-07T04:00:00.000Z,592,608
2020-04-14T04:00:00.000Z,582,596
2020-04-21T04:00:00.000Z,562.2,632
2020-04-28T04:00:00.000Z,579.6,584
2020-05-05T04:00:00.000Z,573,671
2020-05-12T04:00:00.000Z,543.4,698
2020-05-19T04:00:00.000Z,546.6,671
2020-05-26T04:00:00.000Z,540,616
2020-06-02T04:00:00.000Z,539.2,630
2020-06-09T04:00:00.000Z,538.8,595
2020-06-16T04:00:00.000Z,550.6,585
2020-06-23T04:00:00.000Z,532,568
2020-06-30T04:00:00.000Z,538.8,545
2020-07-07T04:00:00.000Z,528.6,589
2020-07-14T04:00:00.000Z,533.6,552
2020-07-21T04:00:00.000Z,508.6,592
2020-07-28T04:00:00.000Z,549.4,640
2020-08-04T04:00:00.000Z,519.4,622
2020-08-11T04:00:00.000Z,534.2,625
2020-08-18T04:00:00.000Z,513.8,620
