Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1015,1093
2020-01-13T05:00:00.000Z,1060.6,1056
2020-01-20T05:00:00.000Z,1017.6,1040
2020-01-27T05:00:00.000Z,984.2,940
2020-02-03T05:00:00.000Z,982,976
2020-02-10T05:00:00.000Z,982,955
2020-02-17T05:00:00.000Z,970.8,954
2020-02-24T05:00:00.000Z,977,991
2020-03-03T05:00:00.000Z,984.8,1016
2020-03-10T04:00:00.000Z,977.8,1004
2020-03-17T04:00:00.000Z,943,1017
2020-03-24T04:00:00.000Z,949.6,945
2020-03-31T04:00:00.000Z,937.2,935
2020-04-07T04:00:00.000Z,924.6,1045
2020-04-14T04:00:00.000Z,935.2,1024
2020-04-21T04:00:00.000Z,936.2,958
2020-04-28T04:00:00.000Z,906.6,968
2020-05-05T04:00:00.000Z,888.2,993
2020-05-12T04:00:00.000Z,889.2,1000
2020-05-19T04:00:00.000Z,882.6,991
2020-05-26T04:00:00.000Z,863.2,988
2020-06-02T04:00:00.000Z,848.2,984
2020-06-09T04:00:00.000Z,875,905
2020-06-16T04:00:00.000Z,875,982
2020-06-23T04:00:00.000Z,856.8,953
2020-06-30T04:00:00.000Z,859.8,928
2020-07-07T04:00:00.000Z,874.6,970
2020-07-14T04:00:00.000Z,858.2,1008
2020-07-21T04:00:00.000Z,853.4,898
2020-07-28T04:00:00.000Z,852.4,923
2020-08-04T04:00:00.000Z,848.8,953
2020-08-11T04:00:00.000Z,858.2,901
2020-08-18T04:00:00.000Z,856.6,847
