Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,963.6,926
2020-01-13T05:00:00.000Z,967.8,964
2020-01-20T05:00:00.000Z,969.8,956
2020-01-27T05:00:00.000Z,938.8,967
2020-02-03T05:00:00.000Z,933.6,972
2020-02-10T05:00:00.000Z,951.6,952
2020-02-17T05:00:00.000Z,922.2,948
2020-02-24T05:00:00.000Z,915.2,947
2020-03-03T05:00:00.000Z,887,991
2020-03-10T04:00:00.000Z,880.8,956
2020-03-17T04:00:00.000Z,890.8,987
2020-03-24T04:00:00.000Z,894.8,948
2020-03-31T04:00:00.000Z,888.4,1223
2020-04-07T04:00:00.000Z,887.4,1377
2020-04-14T04:00:00.000Z,854,1521
2020-04-21T04:00:00.000Z,844.2,1350
2020-04-28T04:00:00.000Z,874.8,1241
2020-05-05T04:00:00.000Z,838.2,1166
2020-05-12T04:00:00.000Z,862.6,1121
2020-05-19T04:00:00.000Z,842.2,1094
2020-05-26T04:00:00.000Z,826.8,1045
2020-06-02T04:00:00.000Z,832.2,1039
2020-06-09T04:00:00.000Z,863.8,999
2020-06-16T04:00:00.000Z,822.4,935
2020-06-23T04:00:00.000Z,806.2,981
2020-06-30T04:00:00.000Z,830.8,975
2020-07-07T04:00:00.000Z,813.6,948
2020-07-14T04:00:00.000Z,832,997
2020-07-21T04:00:00.000Z,831.6,1068
2020-07-28T04:00:00.000Z,816.2,1111
2020-08-04T04:00:00.000Z,814.8,1068
2020-08-11T04:00:00.000Z,819.2,1045
2020-08-18T04:00:00.000Z,827.8,886
