Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,NaN,NaN
2020-03-03T05:00:00.000Z,0,NaN,NaN
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,40,41
2020-03-31T04:00:00.000Z,0,178,188
2020-04-07T04:00:00.000Z,0,368,390
2020-04-14T04:00:00.000Z,0,431,452
2020-04-21T04:00:00.000Z,0,378,390
2020-04-28T04:00:00.000Z,0,312,335
2020-05-05T04:00:00.000Z,0,253,268
2020-05-12T04:00:00.000Z,0,224,240
2020-05-19T04:00:00.000Z,0,158,169
2020-05-26T04:00:00.000Z,0,111,131
2020-06-02T04:00:00.000Z,0,104,118
2020-06-09T04:00:00.000Z,0,99,102
2020-06-16T04:00:00.000Z,0,68,73
2020-06-23T04:00:00.000Z,0,75,85
2020-06-30T04:00:00.000Z,0,66,71
2020-07-07T04:00:00.000Z,0,74,85
2020-07-14T04:00:00.000Z,0,107,117
2020-07-21T04:00:00.000Z,0,137,151
2020-07-28T04:00:00.000Z,0,197,215
2020-08-04T04:00:00.000Z,0,195,212
2020-08-11T04:00:00.000Z,0,200,219
2020-08-18T04:00:00.000Z,0,152,161
