Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,294.2,320
2020-01-13T05:00:00.000Z,293.6,318
2020-01-20T05:00:00.000Z,296.2,295
2020-01-27T05:00:00.000Z,299.4,308
2020-02-03T05:00:00.000Z,281.2,288
2020-02-10T05:00:00.000Z,288,316
2020-02-17T05:00:00.000Z,290.8,329
2020-02-24T05:00:00.000Z,294.2,299
2020-03-03T05:00:00.000Z,281.8,292
2020-03-10T04:00:00.000Z,300.8,313
2020-03-17T04:00:00.000Z,294.6,301
2020-03-24T04:00:00.000Z,289.2,277
2020-03-31T04:00:00.000Z,296.2,279
2020-04-07T04:00:00.000Z,294.2,300
2020-04-14T04:00:00.000Z,293.4,304
2020-04-21T04:00:00.000Z,270.4,310
2020-04-28T04:00:00.000Z,281.4,285
2020-05-05T04:00:00.000Z,277.4,277
2020-05-12T04:00:00.000Z,268.2,293
2020-05-19T04:00:00.000Z,266.2,256
2020-05-26T04:00:00.000Z,271,267
2020-06-02T04:00:00.000Z,255.4,302
2020-06-09T04:00:00.000Z,250.8,255
2020-06-16T04:00:00.000Z,259,254
2020-06-23T04:00:00.000Z,263,275
2020-06-30T04:00:00.000Z,263.4,299
2020-07-07T04:00:00.000Z,266.2,279
2020-07-14T04:00:00.000Z,259.4,289
2020-07-21T04:00:00.000Z,263.2,294
2020-07-28T04:00:00.000Z,257.8,282
2020-08-04T04:00:00.000Z,265.2,283
2020-08-11T04:00:00.000Z,271.2,275
2020-08-18T04:00:00.000Z,263.2,278
