Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1250.6,1237
2020-01-13T05:00:00.000Z,1299.2,1266
2020-01-20T05:00:00.000Z,1274.2,1188
2020-01-27T05:00:00.000Z,1262.8,1303
2020-02-03T05:00:00.000Z,1256.6,1204
2020-02-10T05:00:00.000Z,1221.4,1233
2020-02-17T05:00:00.000Z,1234.8,1250
2020-02-24T05:00:00.000Z,1192.4,1166
2020-03-03T05:00:00.000Z,1225.2,1278
2020-03-10T04:00:00.000Z,1216.4,1213
2020-03-17T04:00:00.000Z,1170.2,1310
2020-03-24T04:00:00.000Z,1162.8,1169
2020-03-31T04:00:00.000Z,1217.8,1287
2020-04-07T04:00:00.000Z,1195,1549
2020-04-14T04:00:00.000Z,1177,2037
2020-04-21T04:00:00.000Z,1142.6,2492
2020-04-28T04:00:00.000Z,1119.4,2533
2020-05-05T04:00:00.000Z,1140.4,2305
2020-05-12T04:00:00.000Z,1090.4,2068
2020-05-19T04:00:00.000Z,1067,1878
2020-05-26T04:00:00.000Z,1082.2,1574
2020-06-02T04:00:00.000Z,1077.8,1352
2020-06-09T04:00:00.000Z,1075.8,1233
2020-06-16T04:00:00.000Z,1076,1137
2020-06-23T04:00:00.000Z,1056.4,1122
2020-06-30T04:00:00.000Z,1060.4,1079
2020-07-07T04:00:00.000Z,1082.4,1044
2020-07-14T04:00:00.000Z,1046.2,1043
2020-07-21T04:00:00.000Z,1029.6,1056
2020-07-28T04:00:00.000Z,1049.6,1083
2020-08-04T04:00:00.000Z,1052.2,1008
2020-08-11T04:00:00.000Z,1055,978
2020-08-18T04:00:00.000Z,1052,1037
