Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,NaN,NaN
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,45,49
2020-04-07T04:00:00.000Z,0,216,229
2020-04-14T04:00:00.000Z,0,608,640
2020-04-21T04:00:00.000Z,0,1048,1106
2020-04-28T04:00:00.000Z,0,1184,1235
2020-05-05T04:00:00.000Z,0,1062,1119
2020-05-12T04:00:00.000Z,0,894,938
2020-05-19T04:00:00.000Z,0,734,784
2020-05-26T04:00:00.000Z,0,485,530
2020-06-02T04:00:00.000Z,0,350,387
2020-06-09T04:00:00.000Z,0,210,243
2020-06-16T04:00:00.000Z,0,152,180
2020-06-23T04:00:00.000Z,0,109,130
2020-06-30T04:00:00.000Z,0,70,94
2020-07-07T04:00:00.000Z,0,50,67
2020-07-14T04:00:00.000Z,0,42,58
2020-07-21T04:00:00.000Z,0,26,35
2020-07-28T04:00:00.000Z,0,26,36
2020-08-04T04:00:00.000Z,0,22,29
2020-08-11T04:00:00.000Z,0,18,28
2020-08-18T04:00:00.000Z,0,18,21
