Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2062.6,2013
2020-01-13T05:00:00.000Z,2042,2064
2020-01-20T05:00:00.000Z,2021.6,1936
2020-01-27T05:00:00.000Z,1954,2007
2020-02-03T05:00:00.000Z,1922.6,2003
2020-02-10T05:00:00.000Z,1972.6,1937
2020-02-17T05:00:00.000Z,1951,2011
2020-02-24T05:00:00.000Z,1938,2054
2020-03-03T05:00:00.000Z,1979.4,1969
2020-03-10T04:00:00.000Z,1968.8,1984
2020-03-17T04:00:00.000Z,1924.6,1949
2020-03-24T04:00:00.000Z,1897.8,2032
2020-03-31T04:00:00.000Z,1890.4,2426
2020-04-07T04:00:00.000Z,1924.2,3107
2020-04-14T04:00:00.000Z,1908,3377
2020-04-21T04:00:00.000Z,1837,3151
2020-04-28T04:00:00.000Z,1863.6,2798
2020-05-05T04:00:00.000Z,1824.4,2585
2020-05-12T04:00:00.000Z,1799.8,2233
2020-05-19T04:00:00.000Z,1774.6,2155
2020-05-26T04:00:00.000Z,1755.4,2007
2020-06-02T04:00:00.000Z,1765,1953
2020-06-09T04:00:00.000Z,1753.2,1991
2020-06-16T04:00:00.000Z,1769,1853
2020-06-23T04:00:00.000Z,1744.8,1874
2020-06-30T04:00:00.000Z,1735.4,1903
2020-07-07T04:00:00.000Z,1748.8,1972
2020-07-14T04:00:00.000Z,1721.2,1877
2020-07-21T04:00:00.000Z,1757,1857
2020-07-28T04:00:00.000Z,1700,1875
2020-08-04T04:00:00.000Z,1739.2,1932
2020-08-11T04:00:00.000Z,1740,1824
2020-08-18T04:00:00.000Z,1721.8,1958
