Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,926.8,1009
2020-01-13T05:00:00.000Z,956.6,950
2020-01-20T05:00:00.000Z,916,945
2020-01-27T05:00:00.000Z,894,957
2020-02-03T05:00:00.000Z,886.2,942
2020-02-10T05:00:00.000Z,898.6,918
2020-02-17T05:00:00.000Z,896.6,941
2020-02-24T05:00:00.000Z,864.4,912
2020-03-03T05:00:00.000Z,873,932
2020-03-10T04:00:00.000Z,871.4,944
2020-03-17T04:00:00.000Z,845,882
2020-03-24T04:00:00.000Z,857.6,893
2020-03-31T04:00:00.000Z,849.6,906
2020-04-07T04:00:00.000Z,861,922
2020-04-14T04:00:00.000Z,888.8,937
2020-04-21T04:00:00.000Z,836,946
2020-04-28T04:00:00.000Z,814,1013
2020-05-05T04:00:00.000Z,828.4,1040
2020-05-12T04:00:00.000Z,824,1054
2020-05-19T04:00:00.000Z,817.8,997
2020-05-26T04:00:00.000Z,794.8,1001
2020-06-02T04:00:00.000Z,784.6,1014
2020-06-09T04:00:00.000Z,782.6,1036
2020-06-16T04:00:00.000Z,780.6,970
2020-06-23T04:00:00.000Z,775.8,933
2020-06-30T04:00:00.000Z,794.8,833
2020-07-07T04:00:00.000Z,779.4,872
2020-07-14T04:00:00.000Z,788,858
2020-07-21T04:00:00.000Z,766.6,858
2020-07-28T04:00:00.000Z,794.6,865
2020-08-04T04:00:00.000Z,811.2,787
2020-08-11T04:00:00.000Z,810.4,850
2020-08-18T04:00:00.000Z,774,822
