Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,11,12
2020-04-07T04:00:00.000Z,0,23,25
2020-04-14T04:00:00.000Z,0,45,45
2020-04-21T04:00:00.000Z,0,77,79
2020-04-28T04:00:00.000Z,0,137,147
2020-05-05T04:00:00.000Z,0,145,156
2020-05-12T04:00:00.000Z,0,153,168
2020-05-19T04:00:00.000Z,0,134,141
2020-05-26T04:00:00.000Z,0,154,164
2020-06-02T04:00:00.000Z,0,141,156
2020-06-09T04:00:00.000Z,0,132,151
2020-06-16T04:00:00.000Z,0,77,90
2020-06-23T04:00:00.000Z,0,53,67
2020-06-30T04:00:00.000Z,0,36,54
2020-07-07T04:00:00.000Z,0,34,44
2020-07-14T04:00:00.000Z,0,26,31
2020-07-21T04:00:00.000Z,0,32,38
2020-07-28T04:00:00.000Z,0,28,35
2020-08-04T04:00:00.000Z,0,29,35
2020-08-11T04:00:00.000Z,0,40,44
2020-08-18T04:00:00.000Z,0,38,46
