Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,680.4,673
2020-01-13T05:00:00.000Z,677.6,648
2020-01-20T05:00:00.000Z,643,624
2020-01-27T05:00:00.000Z,653.2,610
2020-02-03T05:00:00.000Z,651.2,604
2020-02-10T05:00:00.000Z,666.4,702
2020-02-17T05:00:00.000Z,652.6,645
2020-02-24T05:00:00.000Z,643.6,623
2020-03-03T05:00:00.000Z,622.2,662
2020-03-10T04:00:00.000Z,632.6,659
2020-03-17T04:00:00.000Z,626.4,620
2020-03-24T04:00:00.000Z,619.2,624
2020-03-31T04:00:00.000Z,589.2,693
2020-04-07T04:00:00.000Z,621.6,706
2020-04-14T04:00:00.000Z,595.8,694
2020-04-21T04:00:00.000Z,584.4,731
2020-04-28T04:00:00.000Z,582,747
2020-05-05T04:00:00.000Z,598,745
2020-05-12T04:00:00.000Z,595.8,744
2020-05-19T04:00:00.000Z,587,773
2020-05-26T04:00:00.000Z,575.4,718
2020-06-02T04:00:00.000Z,590.4,745
2020-06-09T04:00:00.000Z,591,725
2020-06-16T04:00:00.000Z,585.8,699
2020-06-23T04:00:00.000Z,564.4,738
2020-06-30T04:00:00.000Z,567,710
2020-07-07T04:00:00.000Z,577.6,707
2020-07-14T04:00:00.000Z,596,779
2020-07-21T04:00:00.000Z,558.4,769
2020-07-28T04:00:00.000Z,549.8,856
2020-08-04T04:00:00.000Z,568,839
2020-08-11T04:00:00.000Z,581.2,879
2020-08-18T04:00:00.000Z,577.4,794
