Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,15,15
2020-04-07T04:00:00.000Z,0,51,53
2020-04-14T04:00:00.000Z,0,60,64
2020-04-21T04:00:00.000Z,0,58,66
2020-04-28T04:00:00.000Z,0,60,65
2020-05-05T04:00:00.000Z,0,92,100
2020-05-12T04:00:00.000Z,0,77,86
2020-05-19T04:00:00.000Z,0,98,108
2020-05-26T04:00:00.000Z,0,90,98
2020-06-02T04:00:00.000Z,0,97,107
2020-06-09T04:00:00.000Z,0,79,89
2020-06-16T04:00:00.000Z,0,65,69
2020-06-23T04:00:00.000Z,0,66,73
2020-06-30T04:00:00.000Z,0,56,68
2020-07-07T04:00:00.000Z,0,81,91
2020-07-14T04:00:00.000Z,0,105,115
2020-07-21T04:00:00.000Z,0,117,126
2020-07-28T04:00:00.000Z,0,144,159
2020-08-04T04:00:00.000Z,0,197,215
2020-08-11T04:00:00.000Z,0,170,189
2020-08-18T04:00:00.000Z,0,160,179
