Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,207.2,231
2020-01-13T05:00:00.000Z,208.8,211
2020-01-20T05:00:00.000Z,196.2,202
2020-01-27T05:00:00.000Z,206.2,196
2020-02-03T05:00:00.000Z,196.2,218
2020-02-10T05:00:00.000Z,202.8,202
2020-02-17T05:00:00.000Z,206.8,198
2020-02-24T05:00:00.000Z,218,218
2020-03-03T05:00:00.000Z,198.2,235
2020-03-10T04:00:00.000Z,209,221
2020-03-17T04:00:00.000Z,197.8,218
2020-03-24T04:00:00.000Z,202.6,228
2020-03-31T04:00:00.000Z,186.4,205
2020-04-07T04:00:00.000Z,199.8,177
2020-04-14T04:00:00.000Z,198,216
2020-04-21T04:00:00.000Z,200,190
2020-04-28T04:00:00.000Z,191.2,187
2020-05-05T04:00:00.000Z,191,204
2020-05-12T04:00:00.000Z,189.8,177
2020-05-19T04:00:00.000Z,190.8,205
2020-05-26T04:00:00.000Z,187,180
2020-06-02T04:00:00.000Z,176.4,179
2020-06-09T04:00:00.000Z,188,178
2020-06-16T04:00:00.000Z,187.2,223
2020-06-23T04:00:00.000Z,181.6,198
2020-06-30T04:00:00.000Z,183,198
2020-07-07T04:00:00.000Z,194,172
2020-07-14T04:00:00.000Z,187,189
2020-07-21T04:00:00.000Z,196,203
2020-07-28T04:00:00.000Z,198.2,222
2020-08-04T04:00:00.000Z,193.8,214
2020-08-11T04:00:00.000Z,189.6,214
2020-08-18T04:00:00.000Z,182.4,203
