Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,377.2,345
2020-01-13T05:00:00.000Z,380.6,362
2020-01-20T05:00:00.000Z,367.2,333
2020-01-27T05:00:00.000Z,362.2,358
2020-02-03T05:00:00.000Z,343.8,373
2020-02-10T05:00:00.000Z,345.6,345
2020-02-17T05:00:00.000Z,345.6,327
2020-02-24T05:00:00.000Z,348.2,318
2020-03-03T05:00:00.000Z,343,341
2020-03-10T04:00:00.000Z,342.6,355
2020-03-17T04:00:00.000Z,347.2,343
2020-03-24T04:00:00.000Z,313.2,350
2020-03-31T04:00:00.000Z,346.8,331
2020-04-07T04:00:00.000Z,339,310
2020-04-14T04:00:00.000Z,335.6,343
2020-04-21T04:00:00.000Z,316,353
2020-04-28T04:00:00.000Z,312.8,353
2020-05-05T04:00:00.000Z,325,343
2020-05-12T04:00:00.000Z,308.6,338
2020-05-19T04:00:00.000Z,312.4,352
2020-05-26T04:00:00.000Z,300.6,347
2020-06-02T04:00:00.000Z,306.2,374
2020-06-09T04:00:00.000Z,311.8,318
2020-06-16T04:00:00.000Z,305.2,317
2020-06-23T04:00:00.000Z,304.4,371
2020-06-30T04:00:00.000Z,314.8,317
2020-07-07T04:00:00.000Z,312.2,304
2020-07-14T04:00:00.000Z,304.6,313
2020-07-21T04:00:00.000Z,289,324
2020-07-28T04:00:00.000Z,303.2,356
2020-08-04T04:00:00.000Z,303.8,354
2020-08-11T04:00:00.000Z,305.6,368
2020-08-18T04:00:00.000Z,310.8,340
