Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,554.6,521
2020-01-13T05:00:00.000Z,544.2,556
2020-01-20T05:00:00.000Z,527.4,605
2020-01-27T05:00:00.000Z,519.4,577
2020-02-03T05:00:00.000Z,520.4,531
2020-02-10T05:00:00.000Z,520.6,579
2020-02-17T05:00:00.000Z,496.2,528
2020-02-24T05:00:00.000Z,498.2,545
2020-03-03T05:00:00.000Z,523.6,543
2020-03-10T04:00:00.000Z,509.8,535
2020-03-17T04:00:00.000Z,519.8,515
2020-03-24T04:00:00.000Z,495.8,508
2020-03-31T04:00:00.000Z,483.6,541
2020-04-07T04:00:00.000Z,491.8,592
2020-04-14T04:00:00.000Z,489.8,584
2020-04-21T04:00:00.000Z,495.8,545
2020-04-28T04:00:00.000Z,498.8,564
2020-05-05T04:00:00.000Z,467.2,547
2020-05-12T04:00:00.000Z,476,544
2020-05-19T04:00:00.000Z,448.8,514
2020-05-26T04:00:00.000Z,457,535
2020-06-02T04:00:00.000Z,469.2,543
2020-06-09T04:00:00.000Z,471.4,562
2020-06-16T04:00:00.000Z,480,542
2020-06-23T04:00:00.000Z,476.6,518
2020-06-30T04:00:00.000Z,489,553
2020-07-07T04:00:00.000Z,465.4,520
2020-07-14T04:00:00.000Z,475,624
2020-07-21T04:00:00.000Z,454.4,625
2020-07-28T04:00:00.000Z,445.6,633
2020-08-04T04:00:00.000Z,475,592
2020-08-11T04:00:00.000Z,453.8,654
2020-08-18T04:00:00.000Z,460.6,607
