Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2142.6,2164
2020-01-13T05:00:00.000Z,2169.6,2092
2020-01-20T05:00:00.000Z,2091.4,2167
2020-01-27T05:00:00.000Z,2130.6,2023
2020-02-03T05:00:00.000Z,2065.2,2028
2020-02-10T05:00:00.000Z,2052,2056
2020-02-17T05:00:00.000Z,2027.6,1988
2020-02-24T05:00:00.000Z,2027.4,2032
2020-03-03T05:00:00.000Z,2036.6,2161
2020-03-10T04:00:00.000Z,2062,2070
2020-03-17T04:00:00.000Z,1951.6,1981
2020-03-24T04:00:00.000Z,1984,2127
2020-03-31T04:00:00.000Z,1975,2541
2020-04-07T04:00:00.000Z,1945.2,3767
2020-04-14T04:00:00.000Z,1971.4,4658
2020-04-21T04:00:00.000Z,1933.4,4460
2020-04-28T04:00:00.000Z,1883,3737
2020-05-05T04:00:00.000Z,1894.2,3128
2020-05-12T04:00:00.000Z,1802.8,2779
2020-05-19T04:00:00.000Z,1817.6,2504
2020-05-26T04:00:00.000Z,1856.2,2240
2020-06-02T04:00:00.000Z,1747.6,2109
2020-06-09T04:00:00.000Z,1800.2,1966
2020-06-16T04:00:00.000Z,1826.4,1893
2020-06-23T04:00:00.000Z,1797,1890
2020-06-30T04:00:00.000Z,1794.2,1922
2020-07-07T04:00:00.000Z,1830.2,1867
2020-07-14T04:00:00.000Z,1776.6,1870
2020-07-21T04:00:00.000Z,1797,1830
2020-07-28T04:00:00.000Z,1787.2,1797
2020-08-04T04:00:00.000Z,1758,1860
2020-08-11T04:00:00.000Z,1783.2,1850
2020-08-18T04:00:00.000Z,1778.4,1795
