Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2020.2,2004
2020-01-13T05:00:00.000Z,2024.4,1985
2020-01-20T05:00:00.000Z,1912.8,1901
2020-01-27T05:00:00.000Z,1939.8,1993
2020-02-03T05:00:00.000Z,1933.4,1984
2020-02-10T05:00:00.000Z,1973.6,2055
2020-02-17T05:00:00.000Z,1962.2,2061
2020-02-24T05:00:00.000Z,1923.8,1926
2020-03-03T05:00:00.000Z,1929.2,1969
2020-03-10T04:00:00.000Z,1925.6,2034
2020-03-17T04:00:00.000Z,1845.8,2024
2020-03-24T04:00:00.000Z,1861,2052
2020-03-31T04:00:00.000Z,1844.4,1875
2020-04-07T04:00:00.000Z,1820.6,2021
2020-04-14T04:00:00.000Z,1812.6,2013
2020-04-21T04:00:00.000Z,1731.2,2024
2020-04-28T04:00:00.000Z,1709.8,2105
2020-05-05T04:00:00.000Z,1774.4,1943
2020-05-12T04:00:00.000Z,1736.8,2053
2020-05-19T04:00:00.000Z,1689.6,2040
2020-05-26T04:00:00.000Z,1725.8,2056
2020-06-02T04:00:00.000Z,1703,1978
2020-06-09T04:00:00.000Z,1733.8,1958
2020-06-16T04:00:00.000Z,1718.8,1860
2020-06-23T04:00:00.000Z,1703.6,1902
2020-06-30T04:00:00.000Z,1711,1888
2020-07-07T04:00:00.000Z,1722,1890
2020-07-14T04:00:00.000Z,1661.2,1686
2020-07-21T04:00:00.000Z,1667,1509
2020-07-28T04:00:00.000Z,1649.4,1164
2020-08-04T04:00:00.000Z,1647.2,575
2020-08-11T04:00:00.000Z,1659.8,1162
2020-08-18T04:00:00.000Z,1683.4,436
2020-08-25T04:00:00.000Z,1668,undefined
2020-09-01T04:00:00.000Z,1700.6,undefined
