Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,0,NaN
2020-03-31T04:00:00.000Z,0,NaN,11
2020-04-07T04:00:00.000Z,0,41,44
2020-04-14T04:00:00.000Z,0,58,61
2020-04-21T04:00:00.000Z,0,124,138
2020-04-28T04:00:00.000Z,0,112,120
2020-05-05T04:00:00.000Z,0,110,119
2020-05-12T04:00:00.000Z,0,114,118
2020-05-19T04:00:00.000Z,0,89,103
2020-05-26T04:00:00.000Z,0,92,106
2020-06-02T04:00:00.000Z,0,138,159
2020-06-09T04:00:00.000Z,0,113,127
2020-06-16T04:00:00.000Z,0,93,113
2020-06-23T04:00:00.000Z,0,87,101
2020-06-30T04:00:00.000Z,0,91,102
2020-07-07T04:00:00.000Z,0,83,99
2020-07-14T04:00:00.000Z,0,117,126
2020-07-21T04:00:00.000Z,0,138,147
2020-07-28T04:00:00.000Z,0,161,169
2020-08-04T04:00:00.000Z,0,149,163
2020-08-11T04:00:00.000Z,0,83,90
2020-08-18T04:00:00.000Z,0,39,39
