Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,785.4,737
2020-01-13T05:00:00.000Z,781,764
2020-01-20T05:00:00.000Z,777.6,769
2020-01-27T05:00:00.000Z,737.4,745
2020-02-03T05:00:00.000Z,740,728
2020-02-10T05:00:00.000Z,738.8,727
2020-02-17T05:00:00.000Z,709.6,783
2020-02-24T05:00:00.000Z,714,732
2020-03-03T05:00:00.000Z,734.2,735
2020-03-10T04:00:00.000Z,746.4,788
2020-03-17T04:00:00.000Z,734.4,744
2020-03-24T04:00:00.000Z,719.6,774
2020-03-31T04:00:00.000Z,705.4,768
2020-04-07T04:00:00.000Z,707.4,778
2020-04-14T04:00:00.000Z,704.8,768
2020-04-21T04:00:00.000Z,714.4,765
2020-04-28T04:00:00.000Z,682.2,769
2020-05-05T04:00:00.000Z,690.4,713
2020-05-12T04:00:00.000Z,696.8,703
2020-05-19T04:00:00.000Z,682.8,715
2020-05-26T04:00:00.000Z,679.2,743
2020-06-02T04:00:00.000Z,672.4,747
2020-06-09T04:00:00.000Z,652,682
2020-06-16T04:00:00.000Z,675.8,726
2020-06-23T04:00:00.000Z,686.6,727
2020-06-30T04:00:00.000Z,666.4,681
2020-07-07T04:00:00.000Z,649.4,757
2020-07-14T04:00:00.000Z,684.4,710
2020-07-21T04:00:00.000Z,655.2,748
2020-07-28T04:00:00.000Z,656,729
2020-08-04T04:00:00.000Z,643,704
2020-08-11T04:00:00.000Z,655.6,732
2020-08-18T04:00:00.000Z,663.4,708
