Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2915.4,2761
2020-01-13T05:00:00.000Z,2952.8,2819
2020-01-20T05:00:00.000Z,2935.4,2828
2020-01-27T05:00:00.000Z,2927.4,2761
2020-02-03T05:00:00.000Z,2837,2777
2020-02-10T05:00:00.000Z,2853.6,2762
2020-02-17T05:00:00.000Z,2867.6,2785
2020-02-24T05:00:00.000Z,2805.2,2673
2020-03-03T05:00:00.000Z,2800.4,2749
2020-03-10T04:00:00.000Z,2793.4,2729
2020-03-17T04:00:00.000Z,2752.2,2742
2020-03-24T04:00:00.000Z,2733.6,2541
2020-03-31T04:00:00.000Z,2700.4,2724
2020-04-07T04:00:00.000Z,2650.6,2994
2020-04-14T04:00:00.000Z,2675.4,3428
2020-04-21T04:00:00.000Z,2631.4,3712
2020-04-28T04:00:00.000Z,2557.4,3772
2020-05-05T04:00:00.000Z,2504.4,3521
2020-05-12T04:00:00.000Z,2463.4,3377
2020-05-19T04:00:00.000Z,2464.8,3220
2020-05-26T04:00:00.000Z,2492.4,2911
2020-06-02T04:00:00.000Z,2413.2,2736
2020-06-09T04:00:00.000Z,2462.6,2665
2020-06-16T04:00:00.000Z,2448.8,2526
2020-06-23T04:00:00.000Z,2407.2,2581
2020-06-30T04:00:00.000Z,2455.2,2539
2020-07-07T04:00:00.000Z,2403,2568
2020-07-14T04:00:00.000Z,2373.6,2622
2020-07-21T04:00:00.000Z,2391.6,2496
2020-07-28T04:00:00.000Z,2364.4,2483
2020-08-04T04:00:00.000Z,2357.8,2574
2020-08-11T04:00:00.000Z,2416.8,2457
2020-08-18T04:00:00.000Z,2391.2,2562
