Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,NaN
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,51,52
2020-04-07T04:00:00.000Z,0,198,210
2020-04-14T04:00:00.000Z,0,619,636
2020-04-21T04:00:00.000Z,0,863,911
2020-04-28T04:00:00.000Z,0,1001,1070
2020-05-05T04:00:00.000Z,0,898,942
2020-05-12T04:00:00.000Z,0,797,847
2020-05-19T04:00:00.000Z,0,665,711
2020-05-26T04:00:00.000Z,0,470,506
2020-06-02T04:00:00.000Z,0,323,353
2020-06-09T04:00:00.000Z,0,245,270
2020-06-16T04:00:00.000Z,0,174,206
2020-06-23T04:00:00.000Z,0,150,182
2020-06-30T04:00:00.000Z,0,124,145
2020-07-07T04:00:00.000Z,0,106,134
2020-07-14T04:00:00.000Z,0,102,124
2020-07-21T04:00:00.000Z,0,91,108
2020-07-28T04:00:00.000Z,0,86,95
2020-08-04T04:00:00.000Z,0,90,102
2020-08-11T04:00:00.000Z,0,116,134
2020-08-18T04:00:00.000Z,0,102,116
