Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,655.6,552
2020-01-13T05:00:00.000Z,624.6,588
2020-01-20T05:00:00.000Z,638.4,652
2020-01-27T05:00:00.000Z,618,621
2020-02-03T05:00:00.000Z,628,582
2020-02-10T05:00:00.000Z,613.2,602
2020-02-17T05:00:00.000Z,594.2,614
2020-02-24T05:00:00.000Z,583,611
2020-03-03T05:00:00.000Z,587.8,618
2020-03-10T04:00:00.000Z,566.4,615
2020-03-17T04:00:00.000Z,571,594
2020-03-24T04:00:00.000Z,562.2,619
2020-03-31T04:00:00.000Z,538,636
2020-04-07T04:00:00.000Z,541.6,572
2020-04-14T04:00:00.000Z,536.6,589
2020-04-21T04:00:00.000Z,519.4,554
2020-04-28T04:00:00.000Z,533.2,535
2020-05-05T04:00:00.000Z,531.2,539
2020-05-12T04:00:00.000Z,533.6,557
2020-05-19T04:00:00.000Z,547,533
2020-05-26T04:00:00.000Z,552.4,545
2020-06-02T04:00:00.000Z,529.8,551
2020-06-09T04:00:00.000Z,533.2,571
2020-06-16T04:00:00.000Z,560.2,547
2020-06-23T04:00:00.000Z,538.6,579
2020-06-30T04:00:00.000Z,543.6,523
2020-07-07T04:00:00.000Z,562.8,520
2020-07-14T04:00:00.000Z,549.4,552
2020-07-21T04:00:00.000Z,542,558
2020-07-28T04:00:00.000Z,528.6,545
2020-08-04T04:00:00.000Z,532.8,510
2020-08-11T04:00:00.000Z,530.2,379
2020-08-18T04:00:00.000Z,539.8,279
