Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,17,19
2020-04-07T04:00:00.000Z,0,35,36
2020-04-14T04:00:00.000Z,0,51,57
2020-04-21T04:00:00.000Z,0,43,47
2020-04-28T04:00:00.000Z,0,61,61
2020-05-05T04:00:00.000Z,0,61,63
2020-05-12T04:00:00.000Z,0,69,72
2020-05-19T04:00:00.000Z,0,65,67
2020-05-26T04:00:00.000Z,0,56,59
2020-06-02T04:00:00.000Z,0,61,66
2020-06-09T04:00:00.000Z,0,58,64
2020-06-16T04:00:00.000Z,0,39,46
2020-06-23T04:00:00.000Z,0,52,57
2020-06-30T04:00:00.000Z,0,75,83
2020-07-07T04:00:00.000Z,0,113,128
2020-07-14T04:00:00.000Z,0,133,144
2020-07-21T04:00:00.000Z,0,202,226
2020-07-28T04:00:00.000Z,0,296,313
2020-08-04T04:00:00.000Z,0,252,269
2020-08-11T04:00:00.000Z,0,231,253
2020-08-18T04:00:00.000Z,0,203,226
