Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1589.8,1612
2020-01-13T05:00:00.000Z,1566.4,1685
2020-01-20T05:00:00.000Z,1545.2,1594
2020-01-27T05:00:00.000Z,1492.4,1529
2020-02-03T05:00:00.000Z,1500.6,1586
2020-02-10T05:00:00.000Z,1532.4,1610
2020-02-17T05:00:00.000Z,1491.2,1452
2020-02-24T05:00:00.000Z,1490.8,1512
2020-03-03T05:00:00.000Z,1465.4,1498
2020-03-10T04:00:00.000Z,1453.4,1607
2020-03-17T04:00:00.000Z,1439.2,1595
2020-03-24T04:00:00.000Z,1421.6,1524
2020-03-31T04:00:00.000Z,1422.2,1520
2020-04-07T04:00:00.000Z,1428.6,1586
2020-04-14T04:00:00.000Z,1406.2,1511
2020-04-21T04:00:00.000Z,1370.2,1536
2020-04-28T04:00:00.000Z,1388.6,1474
2020-05-05T04:00:00.000Z,1366.6,1488
2020-05-12T04:00:00.000Z,1362.8,1482
2020-05-19T04:00:00.000Z,1347.6,1540
2020-05-26T04:00:00.000Z,1342.2,1554
2020-06-02T04:00:00.000Z,1350.8,1458
2020-06-09T04:00:00.000Z,1380.2,1477
2020-06-16T04:00:00.000Z,1321,1488
2020-06-23T04:00:00.000Z,1335,1555
2020-06-30T04:00:00.000Z,1325,1551
2020-07-07T04:00:00.000Z,1359.6,1519
2020-07-14T04:00:00.000Z,1346.2,1610
2020-07-21T04:00:00.000Z,1309.6,1618
2020-07-28T04:00:00.000Z,1328.4,1686
2020-08-04T04:00:00.000Z,1348.2,1669
2020-08-11T04:00:00.000Z,1322,1658
2020-08-18T04:00:00.000Z,1302.4,1591
