Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,4380.2,4324
2020-01-13T05:00:00.000Z,4390.6,4561
2020-01-20T05:00:00.000Z,4269,4250
2020-01-27T05:00:00.000Z,4158.2,4125
2020-02-03T05:00:00.000Z,4148,4172
2020-02-10T05:00:00.000Z,4156,4318
2020-02-17T05:00:00.000Z,4105.2,4339
2020-02-24T05:00:00.000Z,4045.6,4213
2020-03-03T05:00:00.000Z,4030.4,4144
2020-03-10T04:00:00.000Z,4071.6,4168
2020-03-17T04:00:00.000Z,3965,4165
2020-03-24T04:00:00.000Z,3924.4,4246
2020-03-31T04:00:00.000Z,3852.2,4253
2020-04-07T04:00:00.000Z,3793.6,4178
2020-04-14T04:00:00.000Z,3807,4259
2020-04-21T04:00:00.000Z,3748.2,4288
2020-04-28T04:00:00.000Z,3755.2,4451
2020-05-05T04:00:00.000Z,3755.6,4252
2020-05-12T04:00:00.000Z,3676.2,4271
2020-05-19T04:00:00.000Z,3692.8,4266
2020-05-26T04:00:00.000Z,3669.4,4243
2020-06-02T04:00:00.000Z,3664.8,4136
2020-06-09T04:00:00.000Z,3712.8,4217
2020-06-16T04:00:00.000Z,3650.6,4374
2020-06-23T04:00:00.000Z,3639.4,4478
2020-06-30T04:00:00.000Z,3620.4,4523
2020-07-07T04:00:00.000Z,3625,4975
2020-07-14T04:00:00.000Z,3596.4,5662
2020-07-21T04:00:00.000Z,3587.8,6102
2020-07-28T04:00:00.000Z,3628.8,6108
2020-08-04T04:00:00.000Z,3668,5679
2020-08-11T04:00:00.000Z,3601.8,5326
2020-08-18T04:00:00.000Z,3597.4,5188
