Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,NaN,NaN
2020-03-10T04:00:00.000Z,0,0,NaN
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,10,10
2020-03-31T04:00:00.000Z,0,44,44
2020-04-07T04:00:00.000Z,0,124,128
2020-04-14T04:00:00.000Z,0,191,205
2020-04-21T04:00:00.000Z,0,229,236
2020-04-28T04:00:00.000Z,0,227,242
2020-05-05T04:00:00.000Z,0,222,235
2020-05-12T04:00:00.000Z,0,214,227
2020-05-19T04:00:00.000Z,0,234,251
2020-05-26T04:00:00.000Z,0,159,170
2020-06-02T04:00:00.000Z,0,206,217
2020-06-09T04:00:00.000Z,0,171,180
2020-06-16T04:00:00.000Z,0,204,223
2020-06-23T04:00:00.000Z,0,287,302
2020-06-30T04:00:00.000Z,0,392,432
2020-07-07T04:00:00.000Z,0,754,791
2020-07-14T04:00:00.000Z,0,1171,1239
2020-07-21T04:00:00.000Z,0,1594,1681
2020-07-28T04:00:00.000Z,0,1702,1799
2020-08-04T04:00:00.000Z,0,1526,1598
2020-08-11T04:00:00.000Z,0,1271,1342
2020-08-18T04:00:00.000Z,0,1060,1125
