Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1223,1184
2020-01-13T05:00:00.000Z,1238.2,1244
2020-01-20T05:00:00.000Z,1211.6,1221
2020-01-27T05:00:00.000Z,1170.8,1193
2020-02-03T05:00:00.000Z,1148.6,1198
2020-02-10T05:00:00.000Z,1142.4,1178
2020-02-17T05:00:00.000Z,1166.8,1179
2020-02-24T05:00:00.000Z,1139.4,1115
2020-03-03T05:00:00.000Z,1142,1134
2020-03-10T04:00:00.000Z,1139,1208
2020-03-17T04:00:00.000Z,1122,1165
2020-03-24T04:00:00.000Z,1160,1223
2020-03-31T04:00:00.000Z,1088.4,1292
2020-04-07T04:00:00.000Z,1102.6,1305
2020-04-14T04:00:00.000Z,1084.2,1304
2020-04-21T04:00:00.000Z,1079.8,1248
2020-04-28T04:00:00.000Z,1028,1229
2020-05-05T04:00:00.000Z,1089,1155
2020-05-12T04:00:00.000Z,1071.2,1209
2020-05-19T04:00:00.000Z,1062.6,1136
2020-05-26T04:00:00.000Z,1004.4,1112
2020-06-02T04:00:00.000Z,1047.6,1053
2020-06-09T04:00:00.000Z,1039.2,1051
2020-06-16T04:00:00.000Z,1016.6,1093
2020-06-23T04:00:00.000Z,1013.4,1126
2020-06-30T04:00:00.000Z,1028.4,1081
2020-07-07T04:00:00.000Z,1037.8,1120
2020-07-14T04:00:00.000Z,1035.6,1155
2020-07-21T04:00:00.000Z,1018.6,1172
2020-07-28T04:00:00.000Z,1016.4,1172
2020-08-04T04:00:00.000Z,1013,1221
2020-08-11T04:00:00.000Z,999.8,1216
2020-08-18T04:00:00.000Z,1013.2,1152
