Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1131,1118
2020-01-13T05:00:00.000Z,1103.6,1060
2020-01-20T05:00:00.000Z,1108.2,1133
2020-01-27T05:00:00.000Z,1083.6,1086
2020-02-03T05:00:00.000Z,1072.2,1176
2020-02-10T05:00:00.000Z,1047.2,1054
2020-02-17T05:00:00.000Z,1023.8,1125
2020-02-24T05:00:00.000Z,908,1161
2020-03-03T05:00:00.000Z,900.4,1136
2020-03-10T04:00:00.000Z,979.4,1116
2020-03-17T04:00:00.000Z,1017.6,1105
2020-03-24T04:00:00.000Z,1033.8,1113
2020-03-31T04:00:00.000Z,997.4,1146
2020-04-07T04:00:00.000Z,1012.8,1221
2020-04-14T04:00:00.000Z,1044.8,1170
2020-04-21T04:00:00.000Z,1000.2,1150
2020-04-28T04:00:00.000Z,986.4,1026
2020-05-05T04:00:00.000Z,990,1162
2020-05-12T04:00:00.000Z,984.2,1078
2020-05-19T04:00:00.000Z,963,1022
2020-05-26T04:00:00.000Z,959.4,1075
2020-06-02T04:00:00.000Z,943.2,1138
2020-06-09T04:00:00.000Z,931.2,1043
2020-06-16T04:00:00.000Z,913.2,1025
2020-06-23T04:00:00.000Z,929.8,1084
2020-06-30T04:00:00.000Z,955.2,1032
2020-07-07T04:00:00.000Z,930.6,1065
2020-07-14T04:00:00.000Z,950.6,1046
2020-07-21T04:00:00.000Z,919.2,1034
2020-07-28T04:00:00.000Z,864.4,1097
2020-08-04T04:00:00.000Z,812.6,1052
2020-08-11T04:00:00.000Z,934,1089
2020-08-18T04:00:00.000Z,936.6,1107
