Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,61156.6,60640
2020-01-13T05:00:00.000Z,61470.4,61179
2020-01-20T05:00:00.000Z,59967.8,59816
2020-01-27T05:00:00.000Z,59070.6,59391
2020-02-03T05:00:00.000Z,58696,59154
2020-02-10T05:00:00.000Z,58774.4,59885
2020-02-17T05:00:00.000Z,58399.6,59295
2020-02-24T05:00:00.000Z,57636.2,59322
2020-03-03T05:00:00.000Z,57414.6,59763
2020-03-10T04:00:00.000Z,57587.8,60086
2020-03-17T04:00:00.000Z,56612,58823
2020-03-24T04:00:00.000Z,56247.6,59538
2020-03-31T04:00:00.000Z,55490.6,63475
2020-04-07T04:00:00.000Z,55417.4,72653
2020-04-14T04:00:00.000Z,55038.4,79417
2020-04-21T04:00:00.000Z,53898.8,77051
2020-04-28T04:00:00.000Z,53288.6,74089
2020-05-05T04:00:00.000Z,53308.8,69493
2020-05-12T04:00:00.000Z,52494.4,67074
2020-05-19T04:00:00.000Z,51950.4,64675
2020-05-26T04:00:00.000Z,51832.4,61785
2020-06-02T04:00:00.000Z,51400.4,59785
2020-06-09T04:00:00.000Z,51900,58916
2020-06-16T04:00:00.000Z,51455.2,57950
2020-06-23T04:00:00.000Z,51313.8,57765
2020-06-30T04:00:00.000Z,51198.2,58003
2020-07-07T04:00:00.000Z,51408.6,58667
2020-07-14T04:00:00.000Z,51077.4,59759
2020-07-21T04:00:00.000Z,50704.6,60230
2020-07-28T04:00:00.000Z,50514.2,60326
2020-08-04T04:00:00.000Z,50554.6,58802
