Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,19,21
2020-03-17T04:00:00.000Z,0,25,26
2020-03-24T04:00:00.000Z,0,465,494
2020-03-31T04:00:00.000Z,0,2894,3084
2020-04-07T04:00:00.000Z,0,9465,9964
2020-04-14T04:00:00.000Z,0,15341,16144
2020-04-21T04:00:00.000Z,0,16108,17038
2020-04-28T04:00:00.000Z,0,14509,15401
2020-05-05T04:00:00.000Z,0,12315,13103
2020-05-12T04:00:00.000Z,0,10344,11130
2020-05-19T04:00:00.000Z,0,8365,9116
2020-05-26T04:00:00.000Z,0,6429,7082
2020-06-02T04:00:00.000Z,0,5498,6070
2020-06-09T04:00:00.000Z,0,4386,4916
2020-06-16T04:00:00.000Z,0,3636,4133
2020-06-23T04:00:00.000Z,0,3267,3743
2020-06-30T04:00:00.000Z,0,3208,3698
2020-07-07T04:00:00.000Z,0,3864,4331
2020-07-14T04:00:00.000Z,0,4943,5459
2020-07-21T04:00:00.000Z,0,6098,6714
2020-07-28T04:00:00.000Z,0,6891,7528
2020-08-04T04:00:00.000Z,0,6549,7129
