Date,Average 2015-2019,Diabetes
2020-01-06T05:00:00.000Z,1885,1816
2020-01-13T05:00:00.000Z,1851.4,1942
2020-01-20T05:00:00.000Z,1807,1848
2020-01-27T05:00:00.000Z,1792,1865
2020-02-03T05:00:00.000Z,1736,1813
2020-02-10T05:00:00.000Z,1758.8,1971
2020-02-17T05:00:00.000Z,1770.2,1826
2020-02-24T05:00:00.000Z,1715.6,1869
2020-03-03T05:00:00.000Z,1736,1796
2020-03-10T04:00:00.000Z,1715.4,1861
2020-03-17T04:00:00.000Z,1658,1716
2020-03-24T04:00:00.000Z,1650.4,1804
2020-03-31T04:00:00.000Z,1637,2053
2020-04-07T04:00:00.000Z,1615.4,2290
2020-04-14T04:00:00.000Z,1622.2,2341
2020-04-21T04:00:00.000Z,1568.8,2247
2020-04-28T04:00:00.000Z,1549.4,2082
2020-05-05T04:00:00.000Z,1595.4,1916
2020-05-12T04:00:00.000Z,1531,1952
2020-05-19T04:00:00.000Z,1486.2,1914
2020-05-26T04:00:00.000Z,1494.4,1790
2020-06-02T04:00:00.000Z,1479.6,1789
2020-06-09T04:00:00.000Z,1500.6,1699
2020-06-16T04:00:00.000Z,1508,1681
2020-06-23T04:00:00.000Z,1448.8,1722
2020-06-30T04:00:00.000Z,1472,1722
2020-07-07T04:00:00.000Z,1479.4,1797
2020-07-14T04:00:00.000Z,1468.4,1819
2020-07-21T04:00:00.000Z,1456.8,1705
2020-07-28T04:00:00.000Z,1415.8,1723
2020-08-04T04:00:00.000Z,1429,1760
