Date,Average 2015-2019,Heart disease
2020-01-06T05:00:00.000Z,14550.2,14270
2020-01-13T05:00:00.000Z,14457,13950
2020-01-20T05:00:00.000Z,14028.8,13633
2020-01-27T05:00:00.000Z,13800,13612
2020-02-03T05:00:00.000Z,13769.2,13472
2020-02-10T05:00:00.000Z,13791.6,14032
2020-02-17T05:00:00.000Z,13807.8,13683
2020-02-24T05:00:00.000Z,13484.6,13633
2020-03-03T05:00:00.000Z,13577.2,13714
2020-03-10T04:00:00.000Z,13473.6,13699
2020-03-17T04:00:00.000Z,13273.6,13401
2020-03-24T04:00:00.000Z,13119.4,13195
2020-03-31T04:00:00.000Z,12975.2,13764
2020-04-07T04:00:00.000Z,12899.2,14949
2020-04-14T04:00:00.000Z,12744.8,15762
2020-04-21T04:00:00.000Z,12536.8,14583
2020-04-28T04:00:00.000Z,12422.2,13830
2020-05-05T04:00:00.000Z,12311,12969
2020-05-12T04:00:00.000Z,12156,13110
2020-05-19T04:00:00.000Z,12027.2,12673
2020-05-26T04:00:00.000Z,12007.8,12666
2020-06-02T04:00:00.000Z,11871.6,12305
2020-06-09T04:00:00.000Z,11868.4,12291
2020-06-16T04:00:00.000Z,11793.8,12146
2020-06-23T04:00:00.000Z,11740.8,12114
2020-06-30T04:00:00.000Z,11730.8,12062
2020-07-07T04:00:00.000Z,11796.2,12268
2020-07-14T04:00:00.000Z,11662,12196
2020-07-21T04:00:00.000Z,11495,11856
2020-07-28T04:00:00.000Z,11464.2,11723
2020-08-04T04:00:00.000Z,11488,11229
