Date,Average 2015-2019,Other resp
2020-01-06T05:00:00.000Z,855.4,1003
2020-01-13T05:00:00.000Z,834.4,925
2020-01-20T05:00:00.000Z,842.6,905
2020-01-27T05:00:00.000Z,816.4,891
2020-02-03T05:00:00.000Z,795.2,882
2020-02-10T05:00:00.000Z,780.6,898
2020-02-17T05:00:00.000Z,778.4,880
2020-02-24T05:00:00.000Z,825.2,895
2020-03-03T05:00:00.000Z,774.8,926
2020-03-10T04:00:00.000Z,789,907
2020-03-17T04:00:00.000Z,788.6,871
2020-03-24T04:00:00.000Z,787.8,951
2020-03-31T04:00:00.000Z,764.4,988
2020-04-07T04:00:00.000Z,736,943
2020-04-14T04:00:00.000Z,752,952
2020-04-21T04:00:00.000Z,735.6,874
2020-04-28T04:00:00.000Z,706.6,796
2020-05-05T04:00:00.000Z,707.8,771
2020-05-12T04:00:00.000Z,670.2,780
2020-05-19T04:00:00.000Z,650.6,682
2020-05-26T04:00:00.000Z,660.2,672
2020-06-02T04:00:00.000Z,656.6,694
2020-06-09T04:00:00.000Z,656.8,685
2020-06-16T04:00:00.000Z,655.6,642
2020-06-23T04:00:00.000Z,640.2,659
2020-06-30T04:00:00.000Z,629,639
2020-07-07T04:00:00.000Z,617.8,673
2020-07-14T04:00:00.000Z,613.4,628
2020-07-21T04:00:00.000Z,628,598
2020-07-28T04:00:00.000Z,614.2,569
2020-08-04T04:00:00.000Z,611.4,627
