Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,55431.6,55086
2020-01-13T05:00:00.000Z,55673.6,55596
2020-01-20T05:00:00.000Z,54303.6,54248
2020-01-27T05:00:00.000Z,53395,53815
2020-02-03T05:00:00.000Z,53123.4,53547
2020-02-10T05:00:00.000Z,53144,54267
2020-02-17T05:00:00.000Z,52769.8,53620
2020-02-24T05:00:00.000Z,52121.6,53867
2020-03-03T05:00:00.000Z,51895.8,54225
2020-03-10T04:00:00.000Z,52095.4,54513
2020-03-17T04:00:00.000Z,51271,53469
2020-03-24T04:00:00.000Z,50867.4,54170
2020-03-31T04:00:00.000Z,50192.4,57941
2020-04-07T04:00:00.000Z,50154.6,66528
2020-04-14T04:00:00.000Z,49786.4,72439
2020-04-21T04:00:00.000Z,48795.4,69684
2020-04-28T04:00:00.000Z,48283,66526
2020-05-05T04:00:00.000Z,48316.2,62469
2020-05-12T04:00:00.000Z,47579.2,60072
2020-05-19T04:00:00.000Z,47109.4,57856
2020-05-26T04:00:00.000Z,46913.4,55481
2020-06-02T04:00:00.000Z,46596,53690
2020-06-09T04:00:00.000Z,46981.2,52828
2020-06-16T04:00:00.000Z,46602,51853
2020-06-23T04:00:00.000Z,46517.4,51228
2020-06-30T04:00:00.000Z,46341.2,50793
