Date,Average 2015-2019,Kidney
2020-01-06T05:00:00.000Z,928.4,892
2020-01-13T05:00:00.000Z,938,929
2020-01-20T05:00:00.000Z,939.6,995
2020-01-27T05:00:00.000Z,917.2,919
2020-02-03T05:00:00.000Z,901.4,915
2020-02-10T05:00:00.000Z,889.4,962
2020-02-17T05:00:00.000Z,885.6,855
2020-02-24T05:00:00.000Z,883.6,908
2020-03-03T05:00:00.000Z,845.8,915
2020-03-10T04:00:00.000Z,865.6,894
2020-03-17T04:00:00.000Z,865.8,876
2020-03-24T04:00:00.000Z,838.6,919
2020-03-31T04:00:00.000Z,818.8,853
2020-04-07T04:00:00.000Z,811.8,850
2020-04-14T04:00:00.000Z,796,944
2020-04-21T04:00:00.000Z,768.8,880
2020-04-28T04:00:00.000Z,797,797
2020-05-05T04:00:00.000Z,761,767
2020-05-12T04:00:00.000Z,778.4,745
2020-05-19T04:00:00.000Z,747.4,776
2020-05-26T04:00:00.000Z,729,757
2020-06-02T04:00:00.000Z,739.4,714
2020-06-09T04:00:00.000Z,718.2,717
2020-06-16T04:00:00.000Z,720.4,726
2020-06-23T04:00:00.000Z,736.6,741
2020-06-30T04:00:00.000Z,731.2,748
