Date,Average 2015-2019,Natural Cause
2020-01-06T05:00:00.000Z,51176.2,50415
2020-01-13T05:00:00.000Z,51487,51146
2020-01-20T05:00:00.000Z,50294.2,49902
2020-01-27T05:00:00.000Z,49353.4,49606
2020-02-03T05:00:00.000Z,49024,49277
2020-02-10T05:00:00.000Z,48990.2,49828
2020-02-17T05:00:00.000Z,48728,49338
2020-02-24T05:00:00.000Z,48116.8,49473
2020-03-03T05:00:00.000Z,47729.8,49809
2020-03-10T04:00:00.000Z,47883,49867
2020-03-17T04:00:00.000Z,47182,48961
2020-03-24T04:00:00.000Z,46787.6,49952
2020-03-31T04:00:00.000Z,46116.2,53832
2020-04-07T04:00:00.000Z,45925.4,62407
2020-04-14T04:00:00.000Z,45666,68127
2020-04-21T04:00:00.000Z,44774.2,65584
2020-04-28T04:00:00.000Z,44227,62282
2020-05-05T04:00:00.000Z,44097.2,58231
2020-05-12T04:00:00.000Z,43382,55740
2020-05-19T04:00:00.000Z,43009.2,53769
2020-05-26T04:00:00.000Z,42759,51435
2020-06-02T04:00:00.000Z,42278.8,49768
2020-06-09T04:00:00.000Z,42552.8,48947
2020-06-16T04:00:00.000Z,42304.4,48220
2020-06-23T04:00:00.000Z,42213.6,47804
2020-06-30T04:00:00.000Z,42014.6,47653
