Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,6076.4,5884
2020-01-13T05:00:00.000Z,6074.6,5868
2020-01-20T05:00:00.000Z,5786.2,5825
2020-01-27T05:00:00.000Z,5607.2,5826
2020-02-03T05:00:00.000Z,5662,5679
2020-02-10T05:00:00.000Z,5609.4,5909
2020-02-17T05:00:00.000Z,5587.6,5580
2020-02-24T05:00:00.000Z,5515.8,5795
2020-03-03T05:00:00.000Z,5618.4,5677
2020-03-10T04:00:00.000Z,5522.8,5726
2020-03-17T04:00:00.000Z,5475.8,5455
2020-03-24T04:00:00.000Z,5257.4,5669
2020-03-31T04:00:00.000Z,5195.4,5683
2020-04-07T04:00:00.000Z,5245.8,5970
2020-04-14T04:00:00.000Z,5118,6035
2020-04-21T04:00:00.000Z,5047,6121
2020-04-28T04:00:00.000Z,5085.6,5923
2020-05-05T04:00:00.000Z,4997.8,5725
2020-05-12T04:00:00.000Z,4887.6,5653
2020-05-19T04:00:00.000Z,4846.2,5666
2020-05-26T04:00:00.000Z,4914.8,5512
2020-06-02T04:00:00.000Z,4897.4,5554
2020-06-09T04:00:00.000Z,4882.6,5473
2020-06-16T04:00:00.000Z,4860.2,5496
2020-06-23T04:00:00.000Z,4888,5384
2020-06-30T04:00:00.000Z,4807.6,5552
