Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,206.4,198
2020-01-13T05:00:00.000Z,199.6,192
2020-01-20T05:00:00.000Z,194.6,189
2020-01-27T05:00:00.000Z,195.8,190
2020-02-03T05:00:00.000Z,180.2,181
2020-02-10T05:00:00.000Z,182.4,191
2020-02-17T05:00:00.000Z,193.2,202
2020-02-24T05:00:00.000Z,184,193
2020-03-03T05:00:00.000Z,174.6,164
2020-03-10T04:00:00.000Z,183.2,200
2020-03-17T04:00:00.000Z,183.6,188
2020-03-24T04:00:00.000Z,182.2,222
2020-03-31T04:00:00.000Z,194.6,189
2020-04-07T04:00:00.000Z,169.2,213
2020-04-14T04:00:00.000Z,174.6,217
2020-04-21T04:00:00.000Z,183.4,225
2020-04-28T04:00:00.000Z,164,283
2020-05-05T04:00:00.000Z,160.2,249
2020-05-12T04:00:00.000Z,161.8,266
2020-05-19T04:00:00.000Z,159.2,270
2020-05-26T04:00:00.000Z,167.6,217
2020-06-02T04:00:00.000Z,157.8,216
2020-06-09T04:00:00.000Z,168.4,173
2020-06-16T04:00:00.000Z,163.8,185
2020-06-23T04:00:00.000Z,158,146
2020-06-30T04:00:00.000Z,168,186
