Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,4173.6,4341
2020-01-13T05:00:00.000Z,4260.6,4407
2020-01-20T05:00:00.000Z,4262.6,4385
2020-01-27T05:00:00.000Z,4192,4390
2020-02-03T05:00:00.000Z,4337.6,4419
2020-02-10T05:00:00.000Z,4286.8,4385
2020-02-17T05:00:00.000Z,4271.4,4359
2020-02-24T05:00:00.000Z,4238,4415
2020-03-03T05:00:00.000Z,4175,4398
2020-03-10T04:00:00.000Z,4186.2,4519
2020-03-17T04:00:00.000Z,4159.4,4435
2020-03-24T04:00:00.000Z,4145.8,4363
2020-03-31T04:00:00.000Z,4117,4461
2020-04-07T04:00:00.000Z,4054.2,4496
2020-04-14T04:00:00.000Z,4017.2,4544
2020-04-21T04:00:00.000Z,3924,4415
2020-04-28T04:00:00.000Z,3872.4,4552
2020-05-05T04:00:00.000Z,3908.4,4347
2020-05-12T04:00:00.000Z,3877.6,4406
2020-05-19T04:00:00.000Z,3793.8,4276
2020-05-26T04:00:00.000Z,3733.4,4358
2020-06-02T04:00:00.000Z,3789.6,4204
2020-06-09T04:00:00.000Z,3762.8,4261
2020-06-16T04:00:00.000Z,3726.8,4245
2020-06-23T04:00:00.000Z,3733,4391
2020-06-30T04:00:00.000Z,3690.2,4459
