Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1792.4,1798
2020-01-13T05:00:00.000Z,1790.6,1797
2020-01-20T05:00:00.000Z,1761.4,1733
2020-01-27T05:00:00.000Z,1731.4,1819
2020-02-03T05:00:00.000Z,1716.2,1785
2020-02-10T05:00:00.000Z,1734.8,1765
2020-02-17T05:00:00.000Z,1704.6,1748
2020-02-24T05:00:00.000Z,1680.8,1737
2020-03-03T05:00:00.000Z,1638,1842
2020-03-10T04:00:00.000Z,1688.2,1734
2020-03-17T04:00:00.000Z,1671.4,1768
2020-03-24T04:00:00.000Z,1627.2,1761
2020-03-31T04:00:00.000Z,1662.2,1852
2020-04-07T04:00:00.000Z,1590.2,2009
2020-04-14T04:00:00.000Z,1588.8,2005
2020-04-21T04:00:00.000Z,1607.6,1989
2020-04-28T04:00:00.000Z,1594.4,2006
2020-05-05T04:00:00.000Z,1581,1933
2020-05-12T04:00:00.000Z,1566.6,1925
2020-05-19T04:00:00.000Z,1545.4,1886
2020-05-26T04:00:00.000Z,1502.4,1820
2020-06-02T04:00:00.000Z,1529.2,1693
2020-06-09T04:00:00.000Z,1541.8,1664
2020-06-16T04:00:00.000Z,1523.6,1603
2020-06-23T04:00:00.000Z,1534.4,1583
2020-06-30T04:00:00.000Z,1489.2,1584
