Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,NaN,NaN
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,38,40
2020-03-31T04:00:00.000Z,0,91,95
2020-04-07T04:00:00.000Z,0,198,207
2020-04-14T04:00:00.000Z,0,201,213
2020-04-21T04:00:00.000Z,0,241,260
2020-04-28T04:00:00.000Z,0,227,253
2020-05-05T04:00:00.000Z,0,239,262
2020-05-12T04:00:00.000Z,0,178,201
2020-05-19T04:00:00.000Z,0,164,188
2020-05-26T04:00:00.000Z,0,133,145
2020-06-02T04:00:00.000Z,0,114,137
2020-06-09T04:00:00.000Z,0,94,110
2020-06-16T04:00:00.000Z,0,95,107
2020-06-23T04:00:00.000Z,0,73,88
2020-06-30T04:00:00.000Z,0,99,110
