Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,245.6,240
2020-01-13T05:00:00.000Z,238.6,241
2020-01-20T05:00:00.000Z,243.8,214
2020-01-27T05:00:00.000Z,221.8,242
2020-02-03T05:00:00.000Z,236.2,242
2020-02-10T05:00:00.000Z,225.2,235
2020-02-17T05:00:00.000Z,234,281
2020-02-24T05:00:00.000Z,222.8,248
2020-03-03T05:00:00.000Z,230.2,237
2020-03-10T04:00:00.000Z,235.8,239
2020-03-17T04:00:00.000Z,237.8,243
2020-03-24T04:00:00.000Z,219.6,212
2020-03-31T04:00:00.000Z,228.4,235
2020-04-07T04:00:00.000Z,222,234
2020-04-14T04:00:00.000Z,217.4,221
2020-04-21T04:00:00.000Z,201,211
2020-04-28T04:00:00.000Z,211.6,200
2020-05-05T04:00:00.000Z,216.4,221
2020-05-12T04:00:00.000Z,220.6,209
2020-05-19T04:00:00.000Z,221.8,229
2020-05-26T04:00:00.000Z,211.6,208
2020-06-02T04:00:00.000Z,206,200
2020-06-09T04:00:00.000Z,208.6,215
2020-06-16T04:00:00.000Z,230.4,198
2020-06-23T04:00:00.000Z,224,243
2020-06-30T04:00:00.000Z,218.8,233
