Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1430.2,1468
2020-01-13T05:00:00.000Z,1432.6,1386
2020-01-20T05:00:00.000Z,1386,1384
2020-01-27T05:00:00.000Z,1353.6,1420
2020-02-03T05:00:00.000Z,1344.8,1372
2020-02-10T05:00:00.000Z,1353,1361
2020-02-17T05:00:00.000Z,1315.4,1421
2020-02-24T05:00:00.000Z,1334,1403
2020-03-03T05:00:00.000Z,1334.4,1440
2020-03-10T04:00:00.000Z,1328.2,1363
2020-03-17T04:00:00.000Z,1317.2,1394
2020-03-24T04:00:00.000Z,1299,1320
2020-03-31T04:00:00.000Z,1313.6,1475
2020-04-07T04:00:00.000Z,1288.8,1573
2020-04-14T04:00:00.000Z,1280.6,1620
2020-04-21T04:00:00.000Z,1259.4,1500
2020-04-28T04:00:00.000Z,1212.4,1584
2020-05-05T04:00:00.000Z,1220.2,1509
2020-05-12T04:00:00.000Z,1216,1565
2020-05-19T04:00:00.000Z,1180,1554
2020-05-26T04:00:00.000Z,1216.2,1445
2020-06-02T04:00:00.000Z,1150.8,1345
2020-06-09T04:00:00.000Z,1195.6,1351
2020-06-16T04:00:00.000Z,1161.4,1345
2020-06-23T04:00:00.000Z,1151.4,1263
2020-06-30T04:00:00.000Z,1185,1279
