Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,0,0
2020-03-31T04:00:00.000Z,0,NaN,NaN
2020-04-07T04:00:00.000Z,0,16,17
2020-04-14T04:00:00.000Z,0,20,21
2020-04-21T04:00:00.000Z,0,36,36
2020-04-28T04:00:00.000Z,0,49,52
2020-05-05T04:00:00.000Z,0,66,69
2020-05-12T04:00:00.000Z,0,82,90
2020-05-19T04:00:00.000Z,0,94,101
2020-05-26T04:00:00.000Z,0,93,101
2020-06-02T04:00:00.000Z,0,85,91
2020-06-09T04:00:00.000Z,0,64,67
2020-06-16T04:00:00.000Z,0,34,39
2020-06-23T04:00:00.000Z,0,27,32
2020-06-30T04:00:00.000Z,0,19,20
