Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1015,1091
2020-01-13T05:00:00.000Z,1060.6,1055
2020-01-20T05:00:00.000Z,1017.6,1040
2020-01-27T05:00:00.000Z,984.2,940
2020-02-03T05:00:00.000Z,982,975
2020-02-10T05:00:00.000Z,982,954
2020-02-17T05:00:00.000Z,970.8,951
2020-02-24T05:00:00.000Z,977,990
2020-03-03T05:00:00.000Z,984.8,1016
2020-03-10T04:00:00.000Z,977.8,1000
2020-03-17T04:00:00.000Z,943,1012
2020-03-24T04:00:00.000Z,949.6,944
2020-03-31T04:00:00.000Z,937.2,932
2020-04-07T04:00:00.000Z,924.6,1039
2020-04-14T04:00:00.000Z,935.2,1018
2020-04-21T04:00:00.000Z,936.2,956
2020-04-28T04:00:00.000Z,906.6,965
2020-05-05T04:00:00.000Z,888.2,982
2020-05-12T04:00:00.000Z,889.2,980
2020-05-19T04:00:00.000Z,882.6,974
2020-05-26T04:00:00.000Z,863.2,956
2020-06-02T04:00:00.000Z,848.2,954
2020-06-09T04:00:00.000Z,875,847
2020-06-16T04:00:00.000Z,875,919
2020-06-23T04:00:00.000Z,856.8,874
2020-06-30T04:00:00.000Z,859.8,812
