Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,963.6,925
2020-01-13T05:00:00.000Z,967.8,960
2020-01-20T05:00:00.000Z,969.8,953
2020-01-27T05:00:00.000Z,938.8,961
2020-02-03T05:00:00.000Z,933.6,972
2020-02-10T05:00:00.000Z,951.6,950
2020-02-17T05:00:00.000Z,922.2,941
2020-02-24T05:00:00.000Z,915.2,944
2020-03-03T05:00:00.000Z,887,989
2020-03-10T04:00:00.000Z,880.8,953
2020-03-17T04:00:00.000Z,890.8,983
2020-03-24T04:00:00.000Z,894.8,939
2020-03-31T04:00:00.000Z,888.4,1221
2020-04-07T04:00:00.000Z,887.4,1369
2020-04-14T04:00:00.000Z,854,1515
2020-04-21T04:00:00.000Z,844.2,1344
2020-04-28T04:00:00.000Z,874.8,1227
2020-05-05T04:00:00.000Z,838.2,1150
2020-05-12T04:00:00.000Z,862.6,1108
2020-05-19T04:00:00.000Z,842.2,1070
2020-05-26T04:00:00.000Z,826.8,1018
2020-06-02T04:00:00.000Z,832.2,994
2020-06-09T04:00:00.000Z,863.8,931
2020-06-16T04:00:00.000Z,822.4,850
2020-06-23T04:00:00.000Z,806.2,878
2020-06-30T04:00:00.000Z,830.8,844
