Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,18,18
2020-04-07T04:00:00.000Z,0,84,87
2020-04-14T04:00:00.000Z,0,197,212
2020-04-21T04:00:00.000Z,0,281,298
2020-04-28T04:00:00.000Z,0,357,390
2020-05-05T04:00:00.000Z,0,395,423
2020-05-12T04:00:00.000Z,0,383,415
2020-05-19T04:00:00.000Z,0,353,389
2020-05-26T04:00:00.000Z,0,275,297
2020-06-02T04:00:00.000Z,0,256,286
2020-06-09T04:00:00.000Z,0,211,231
2020-06-16T04:00:00.000Z,0,169,188
2020-06-23T04:00:00.000Z,0,112,130
2020-06-30T04:00:00.000Z,0,100,111
