Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,NaN
2020-03-24T04:00:00.000Z,0,17,21
2020-03-31T04:00:00.000Z,0,221,230
2020-04-07T04:00:00.000Z,0,643,669
2020-04-14T04:00:00.000Z,0,915,963
2020-04-21T04:00:00.000Z,0,914,962
2020-04-28T04:00:00.000Z,0,710,759
2020-05-05T04:00:00.000Z,0,538,579
2020-05-12T04:00:00.000Z,0,384,419
2020-05-19T04:00:00.000Z,0,239,268
2020-05-26T04:00:00.000Z,0,201,228
2020-06-02T04:00:00.000Z,0,146,170
2020-06-09T04:00:00.000Z,0,106,115
2020-06-16T04:00:00.000Z,0,64,75
2020-06-23T04:00:00.000Z,0,46,57
2020-06-30T04:00:00.000Z,0,30,43
