Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,0,0
2020-03-24T04:00:00.000Z,0,NaN,NaN
2020-03-31T04:00:00.000Z,0,11,12
2020-04-07T04:00:00.000Z,0,23,25
2020-04-14T04:00:00.000Z,0,44,44
2020-04-21T04:00:00.000Z,0,76,78
2020-04-28T04:00:00.000Z,0,133,144
2020-05-05T04:00:00.000Z,0,140,152
2020-05-12T04:00:00.000Z,0,150,166
2020-05-19T04:00:00.000Z,0,130,139
2020-05-26T04:00:00.000Z,0,154,163
2020-06-02T04:00:00.000Z,0,138,153
2020-06-09T04:00:00.000Z,0,130,149
2020-06-16T04:00:00.000Z,0,76,90
2020-06-23T04:00:00.000Z,0,51,65
2020-06-30T04:00:00.000Z,0,33,50
