Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,0,0
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,34,36
2020-03-31T04:00:00.000Z,0,271,286
2020-04-07T04:00:00.000Z,0,1170,1226
2020-04-14T04:00:00.000Z,0,2259,2344
2020-04-21T04:00:00.000Z,0,2364,2478
2020-04-28T04:00:00.000Z,0,1897,2026
2020-05-05T04:00:00.000Z,0,1429,1543
2020-05-12T04:00:00.000Z,0,999,1114
2020-05-19T04:00:00.000Z,0,732,818
2020-05-26T04:00:00.000Z,0,475,548
2020-06-02T04:00:00.000Z,0,339,392
2020-06-09T04:00:00.000Z,0,250,309
2020-06-16T04:00:00.000Z,0,178,218
2020-06-23T04:00:00.000Z,0,125,160
2020-06-30T04:00:00.000Z,0,103,138
