Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,2142.6,2163
2020-01-13T05:00:00.000Z,2169.6,2092
2020-01-20T05:00:00.000Z,2091.4,2164
2020-01-27T05:00:00.000Z,2130.6,2022
2020-02-03T05:00:00.000Z,2065.2,2028
2020-02-10T05:00:00.000Z,2052,2052
2020-02-17T05:00:00.000Z,2027.6,1982
2020-02-24T05:00:00.000Z,2027.4,2027
2020-03-03T05:00:00.000Z,2036.6,2155
2020-03-10T04:00:00.000Z,2062,2059
2020-03-17T04:00:00.000Z,1951.6,1975
2020-03-24T04:00:00.000Z,1984,2105
2020-03-31T04:00:00.000Z,1975,2526
2020-04-07T04:00:00.000Z,1945.2,3747
2020-04-14T04:00:00.000Z,1971.4,4642
2020-04-21T04:00:00.000Z,1933.4,4446
2020-04-28T04:00:00.000Z,1883,3719
2020-05-05T04:00:00.000Z,1894.2,3117
2020-05-12T04:00:00.000Z,1802.8,2763
2020-05-19T04:00:00.000Z,1817.6,2480
2020-05-26T04:00:00.000Z,1856.2,2212
2020-06-02T04:00:00.000Z,1747.6,2083
2020-06-09T04:00:00.000Z,1800.2,1941
2020-06-16T04:00:00.000Z,1826.4,1867
2020-06-23T04:00:00.000Z,1797,1864
2020-06-30T04:00:00.000Z,1794.2,1895
