Date,Average 2015-2019,of COVID, with CIVID
2020-01-06T05:00:00.000Z,0,0,0
2020-01-13T05:00:00.000Z,0,0,0
2020-01-20T05:00:00.000Z,0,0,0
2020-01-27T05:00:00.000Z,0,0,0
2020-02-03T05:00:00.000Z,0,0,0
2020-02-10T05:00:00.000Z,0,0,0
2020-02-17T05:00:00.000Z,0,0,0
2020-02-24T05:00:00.000Z,0,NaN,NaN
2020-03-03T05:00:00.000Z,0,0,0
2020-03-10T04:00:00.000Z,0,0,0
2020-03-17T04:00:00.000Z,0,NaN,NaN
2020-03-24T04:00:00.000Z,0,39,41
2020-03-31T04:00:00.000Z,0,281,291
2020-04-07T04:00:00.000Z,0,1065,1106
2020-04-14T04:00:00.000Z,0,1887,1992
2020-04-21T04:00:00.000Z,0,1902,1998
2020-04-28T04:00:00.000Z,0,1506,1584
2020-05-05T04:00:00.000Z,0,1052,1134
2020-05-12T04:00:00.000Z,0,803,874
2020-05-19T04:00:00.000Z,0,599,667
2020-05-26T04:00:00.000Z,0,398,445
2020-06-02T04:00:00.000Z,0,288,328
2020-06-09T04:00:00.000Z,0,218,259
2020-06-16T04:00:00.000Z,0,150,180
2020-06-23T04:00:00.000Z,0,100,124
2020-06-30T04:00:00.000Z,0,61,74
