Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,1227.8,1154
2020-01-13T05:00:00.000Z,1187,1137
2020-01-20T05:00:00.000Z,1167.6,1129
2020-01-27T05:00:00.000Z,1191.6,1180
2020-02-03T05:00:00.000Z,1146.6,1169
2020-02-10T05:00:00.000Z,1189,1171
2020-02-17T05:00:00.000Z,1139.6,1123
2020-02-24T05:00:00.000Z,1112.8,1081
2020-03-03T05:00:00.000Z,1119.2,1106
2020-03-10T04:00:00.000Z,1102,1113
2020-03-17T04:00:00.000Z,1097.2,1138
2020-03-24T04:00:00.000Z,1055.8,1403
2020-03-31T04:00:00.000Z,1040.8,2800
2020-04-07T04:00:00.000Z,1045.4,6293
2020-04-14T04:00:00.000Z,1064.8,7859
2020-04-21T04:00:00.000Z,1021,5904
2020-04-28T04:00:00.000Z,1002.2,4052
2020-05-05T04:00:00.000Z,990.4,2846
2020-05-12T04:00:00.000Z,995.2,2074
2020-05-19T04:00:00.000Z,997.2,1604
2020-05-26T04:00:00.000Z,1017.4,1311
2020-06-02T04:00:00.000Z,955.6,1167
2020-06-09T04:00:00.000Z,967.4,1113
2020-06-16T04:00:00.000Z,971,1096
2020-06-23T04:00:00.000Z,1000,990
2020-06-30T04:00:00.000Z,962,1069
